date,estimate_type,tenure,private_dwellings
30 Jun 2007,mean quarter ended,free,69300
30 Sep 2007,mean quarter ended,free,69200
31 Dec 2007,mean quarter ended,free,69100
31 Mar 2008,mean quarter ended,free,69100
30 Jun 2008,mean quarter ended,free,69000
30 Sep 2008,mean quarter ended,free,68900
31 Dec 2008,mean quarter ended,free,68700
31 Mar 2009,mean quarter ended,free,68600
30 Jun 2009,mean quarter ended,free,68400
30 Sep 2009,mean quarter ended,free,68200
31 Dec 2009,mean quarter ended,free,68000
31 Mar 2010,mean quarter ended,free,67800
30 Jun 2010,mean quarter ended,free,67600
30 Sep 2010,mean quarter ended,free,67500
31 Dec 2010,mean quarter ended,free,67300
31 Mar 2011,mean quarter ended,free,67100
30 Jun 2011,mean quarter ended,free,66900
30 Sep 2011,mean quarter ended,free,66700
31 Dec 2011,mean quarter ended,free,66500
31 Mar 2012,mean quarter ended,free,66300
30 Jun 2012,mean quarter ended,free,66100
30 Sep 2012,mean quarter ended,free,65900
31 Dec 2012,mean quarter ended,free,65700
31 Mar 2013,mean quarter ended,free,65500
30 Jun 2013,mean quarter ended,free,65400
30 Sep 2013,mean quarter ended,free,65300
31 Dec 2013,mean quarter ended,free,65100
31 Mar 2014,mean quarter ended,free,65000
30 Jun 2014,mean quarter ended,free,64900
30 Sep 2014,mean quarter ended,free,64800
31 Dec 2014,mean quarter ended,free,64700
31 Mar 2015,mean quarter ended,free,64600
30 Jun 2015,mean quarter ended,free,64500
30 Sep 2015,mean quarter ended,free,64400
31 Dec 2015,mean quarter ended,free,64300
31 Mar 2016,mean quarter ended,free,64200
30 Jun 2016,mean quarter ended,free,64200
30 Sep 2016,mean quarter ended,free,64100
31 Dec 2016,mean quarter ended,free,64000
31 Mar 2017,mean quarter ended,free,63900
30 Jun 2017,mean quarter ended,free,63900
30 Sep 2017,mean quarter ended,free,63800
31 Dec 2017,mean quarter ended,free,63700
31 Mar 2018,mean quarter ended,free,63700
30 Jun 2018,mean quarter ended,free,63800
30 Sep 2018,mean quarter ended,free,64100
31 Dec 2018,mean quarter ended,free,64300
31 Mar 2019,mean quarter ended,free,64600
30 Jun 2019,mean quarter ended,free,64800
30 Sep 2019,mean quarter ended,free,65100
31 Dec 2019,mean quarter ended,free,65400
31 Mar 2020,mean quarter ended,free,65600
30 Jun 2020,mean quarter ended,free,65900
30 Sep 2020,mean quarter ended,free,66200
31 Dec 2020,mean quarter ended,free,66500
31 Mar 2021,mean quarter ended,free,66800
30 Jun 2021,mean quarter ended,free,67100
30 Sep 2021,mean quarter ended,free,67500
DATE,ESTIMATE_TYPE,TENURE,PRIVATE_DWELLING
DATE,ESTIMATE_TYPE,TENURE,PRIVATE_DWELLING
30 Sep 2021,mean quarter ended,free,67500
